2007-01-01 01:35:40 startup archives unpack
2007-01-01 01:35:41 install libjson-c2:armel <none> 0.11-4
2007-01-01 01:35:41 status half-installed libjson-c2:armel 0.11-4
2007-01-01 01:35:41 status unpacked libjson-c2:armel 0.11-4
2007-01-01 01:35:41 status unpacked libjson-c2:armel 0.11-4
2007-01-01 01:35:41 install libsasl2-modules-db:armel <none> 2.1.26.dfsg1-13
2007-01-01 01:35:41 status half-installed libsasl2-modules-db:armel 2.1.26.dfsg1-13
2007-01-01 01:35:42 status unpacked libsasl2-modules-db:armel 2.1.26.dfsg1-13
2007-01-01 01:35:42 status unpacked libsasl2-modules-db:armel 2.1.26.dfsg1-13
2007-01-01 01:35:42 install libsasl2-2:armel <none> 2.1.26.dfsg1-13
2007-01-01 01:35:42 status half-installed libsasl2-2:armel 2.1.26.dfsg1-13
2007-01-01 01:35:43 status unpacked libsasl2-2:armel 2.1.26.dfsg1-13
2007-01-01 01:35:43 status unpacked libsasl2-2:armel 2.1.26.dfsg1-13
2007-01-01 01:35:43 install libldap-2.4-2:armel <none> 2.4.40+dfsg-1
2007-01-01 01:35:43 status half-installed libldap-2.4-2:armel 2.4.40+dfsg-1
2007-01-01 01:35:44 status unpacked libldap-2.4-2:armel 2.4.40+dfsg-1
2007-01-01 01:35:44 status unpacked libldap-2.4-2:armel 2.4.40+dfsg-1
2007-01-01 01:35:44 install libmagic1:armel <none> 1:5.22+15-2
2007-01-01 01:35:44 status half-installed libmagic1:armel 1:5.22+15-2
2007-01-01 01:35:46 status unpacked libmagic1:armel 1:5.22+15-2
2007-01-01 01:35:46 status unpacked libmagic1:armel 1:5.22+15-2
2007-01-01 01:35:47 install libsqlite3-0:armel <none> 3.8.7.1-1+deb8u1
2007-01-01 01:35:47 status half-installed libsqlite3-0:armel 3.8.7.1-1+deb8u1
2007-01-01 01:35:48 status unpacked libsqlite3-0:armel 3.8.7.1-1+deb8u1
2007-01-01 01:35:48 status unpacked libsqlite3-0:armel 3.8.7.1-1+deb8u1
2007-01-01 01:35:48 install libxml2:armel <none> 2.9.1+dfsg1-5
2007-01-01 01:35:48 status half-installed libxml2:armel 2.9.1+dfsg1-5
2007-01-01 01:35:50 status unpacked libxml2:armel 2.9.1+dfsg1-5
2007-01-01 01:35:50 status unpacked libxml2:armel 2.9.1+dfsg1-5
2007-01-01 01:35:50 install mime-support:all <none> 3.58
2007-01-01 01:35:50 status half-installed mime-support:all 3.58
2007-01-01 01:35:51 status unpacked mime-support:all 3.58
2007-01-01 01:35:51 status unpacked mime-support:all 3.58
2007-01-01 01:35:51 install libapr1:armel <none> 1.5.1-3
2007-01-01 01:35:51 status half-installed libapr1:armel 1.5.1-3
2007-01-01 01:35:52 status unpacked libapr1:armel 1.5.1-3
2007-01-01 01:35:52 status unpacked libapr1:armel 1.5.1-3
2007-01-01 01:35:52 install libexpat1:armel <none> 2.1.0-6+deb8u1
2007-01-01 01:35:52 status half-installed libexpat1:armel 2.1.0-6+deb8u1
2007-01-01 01:35:52 status unpacked libexpat1:armel 2.1.0-6+deb8u1
2007-01-01 01:35:52 status unpacked libexpat1:armel 2.1.0-6+deb8u1
2007-01-01 01:35:53 install libaprutil1:armel <none> 1.5.4-1
2007-01-01 01:35:53 status half-installed libaprutil1:armel 1.5.4-1
2007-01-01 01:35:53 status unpacked libaprutil1:armel 1.5.4-1
2007-01-01 01:35:53 status unpacked libaprutil1:armel 1.5.4-1
2007-01-01 01:35:54 install libaprutil1-dbd-sqlite3:armel <none> 1.5.4-1
2007-01-01 01:35:54 status half-installed libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:35:54 status unpacked libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:35:54 status unpacked libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:35:54 install libaprutil1-ldap:armel <none> 1.5.4-1
2007-01-01 01:35:54 status half-installed libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:35:54 status unpacked libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:35:54 status unpacked libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:35:55 install liblua5.1-0:armel <none> 5.1.5-7.1
2007-01-01 01:35:55 status half-installed liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:35:55 status unpacked liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:35:55 status unpacked liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:35:56 install apache2-bin:armel <none> 2.4.10-10+deb8u3
2007-01-01 01:35:56 status half-installed apache2-bin:armel 2.4.10-10+deb8u3
2007-01-01 01:35:59 status unpacked apache2-bin:armel 2.4.10-10+deb8u3
2007-01-01 01:35:59 status unpacked apache2-bin:armel 2.4.10-10+deb8u3
2007-01-01 01:36:00 install apache2-utils:armel <none> 2.4.10-10+deb8u3
2007-01-01 01:36:00 status half-installed apache2-utils:armel 2.4.10-10+deb8u3
2007-01-01 01:36:00 status unpacked apache2-utils:armel 2.4.10-10+deb8u3
2007-01-01 01:36:00 status unpacked apache2-utils:armel 2.4.10-10+deb8u3
2007-01-01 01:36:01 install apache2-data:all <none> 2.4.10-10+deb8u3
2007-01-01 01:36:01 status half-installed apache2-data:all 2.4.10-10+deb8u3
2007-01-01 01:36:04 status unpacked apache2-data:all 2.4.10-10+deb8u3
2007-01-01 01:36:04 status unpacked apache2-data:all 2.4.10-10+deb8u3
2007-01-01 01:36:05 install apache2:armel <none> 2.4.10-10+deb8u3
2007-01-01 01:36:05 status half-installed apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:06 status triggers-pending systemd:armel 215-17+deb8u2
2007-01-01 01:36:08 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:08 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:08 install libonig2:armel <none> 5.9.5-3.2
2007-01-01 01:36:08 status half-installed libonig2:armel 5.9.5-3.2
2007-01-01 01:36:09 status unpacked libonig2:armel 5.9.5-3.2
2007-01-01 01:36:09 status unpacked libonig2:armel 5.9.5-3.2
2007-01-01 01:36:09 install sgml-base:all <none> 1.26+nmu4
2007-01-01 01:36:09 status half-installed sgml-base:all 1.26+nmu4
2007-01-01 01:36:09 status unpacked sgml-base:all 1.26+nmu4
2007-01-01 01:36:09 status unpacked sgml-base:all 1.26+nmu4
2007-01-01 01:36:10 install file:armel <none> 1:5.22+15-2
2007-01-01 01:36:10 status half-installed file:armel 1:5.22+15-2
2007-01-01 01:36:10 status unpacked file:armel 1:5.22+15-2
2007-01-01 01:36:10 status unpacked file:armel 1:5.22+15-2
2007-01-01 01:36:11 install ucf:all <none> 3.0030
2007-01-01 01:36:11 status half-installed ucf:all 3.0030
2007-01-01 01:36:11 status unpacked ucf:all 3.0030
2007-01-01 01:36:11 status unpacked ucf:all 3.0030
2007-01-01 01:36:11 install libqdbm14:armel <none> 1.8.78-5+b1
2007-01-01 01:36:11 status half-installed libqdbm14:armel 1.8.78-5+b1
2007-01-01 01:36:12 status unpacked libqdbm14:armel 1.8.78-5+b1
2007-01-01 01:36:12 status unpacked libqdbm14:armel 1.8.78-5+b1
2007-01-01 01:36:12 install psmisc:armel <none> 22.21-2
2007-01-01 01:36:12 status half-installed psmisc:armel 22.21-2
2007-01-01 01:36:14 status unpacked psmisc:armel 22.21-2
2007-01-01 01:36:14 status unpacked psmisc:armel 22.21-2
2007-01-01 01:36:14 install php5-common:armel <none> 5.6.7+dfsg-1
2007-01-01 01:36:14 status half-installed php5-common:armel 5.6.7+dfsg-1
2007-01-01 01:36:15 status unpacked php5-common:armel 5.6.7+dfsg-1
2007-01-01 01:36:15 status unpacked php5-common:armel 5.6.7+dfsg-1
2007-01-01 01:36:16 install php5-json:armel <none> 1.3.6-1
2007-01-01 01:36:16 status half-installed php5-json:armel 1.3.6-1
2007-01-01 01:36:16 status unpacked php5-json:armel 1.3.6-1
2007-01-01 01:36:16 status unpacked php5-json:armel 1.3.6-1
2007-01-01 01:36:16 install php5-cli:armel <none> 5.6.7+dfsg-1
2007-01-01 01:36:16 status half-installed php5-cli:armel 5.6.7+dfsg-1
2007-01-01 01:36:23 status unpacked php5-cli:armel 5.6.7+dfsg-1
2007-01-01 01:36:23 status unpacked php5-cli:armel 5.6.7+dfsg-1
2007-01-01 01:36:24 install libapache2-mod-php5:armel <none> 5.6.7+dfsg-1
2007-01-01 01:36:24 status half-installed libapache2-mod-php5:armel 5.6.7+dfsg-1
2007-01-01 01:36:32 status unpacked libapache2-mod-php5:armel 5.6.7+dfsg-1
2007-01-01 01:36:32 status unpacked libapache2-mod-php5:armel 5.6.7+dfsg-1
2007-01-01 01:36:32 install libsasl2-modules:armel <none> 2.1.26.dfsg1-13
2007-01-01 01:36:32 status half-installed libsasl2-modules:armel 2.1.26.dfsg1-13
2007-01-01 01:36:33 status unpacked libsasl2-modules:armel 2.1.26.dfsg1-13
2007-01-01 01:36:33 status unpacked libsasl2-modules:armel 2.1.26.dfsg1-13
2007-01-01 01:36:33 install openssl:armel <none> 1.0.1k-3+deb8u1
2007-01-01 01:36:33 status half-installed openssl:armel 1.0.1k-3+deb8u1
2007-01-01 01:36:35 status unpacked openssl:armel 1.0.1k-3+deb8u1
2007-01-01 01:36:35 status unpacked openssl:armel 1.0.1k-3+deb8u1
2007-01-01 01:36:36 install php5:all <none> 5.6.7+dfsg-1
2007-01-01 01:36:36 status half-installed php5:all 5.6.7+dfsg-1
2007-01-01 01:36:36 status unpacked php5:all 5.6.7+dfsg-1
2007-01-01 01:36:36 status unpacked php5:all 5.6.7+dfsg-1
2007-01-01 01:36:36 install php5-readline:armel <none> 5.6.7+dfsg-1
2007-01-01 01:36:36 status half-installed php5-readline:armel 5.6.7+dfsg-1
2007-01-01 01:36:36 status unpacked php5-readline:armel 5.6.7+dfsg-1
2007-01-01 01:36:37 status unpacked php5-readline:armel 5.6.7+dfsg-1
2007-01-01 01:36:37 install ssl-cert:all <none> 1.0.35
2007-01-01 01:36:37 status half-installed ssl-cert:all 1.0.35
2007-01-01 01:36:37 status unpacked ssl-cert:all 1.0.35
2007-01-01 01:36:37 status unpacked ssl-cert:all 1.0.35
2007-01-01 01:36:37 install xml-core:all <none> 0.13+nmu2
2007-01-01 01:36:37 status half-installed xml-core:all 0.13+nmu2
2007-01-01 01:36:38 status unpacked xml-core:all 0.13+nmu2
2007-01-01 01:36:38 status unpacked xml-core:all 0.13+nmu2
2007-01-01 01:36:38 trigproc systemd:armel 215-17+deb8u2 <none>
2007-01-01 01:36:38 status half-configured systemd:armel 215-17+deb8u2
2007-01-01 01:36:40 status installed systemd:armel 215-17+deb8u2
2007-01-01 01:36:41 startup packages configure
2007-01-01 01:36:41 configure libjson-c2:armel 0.11-4 <none>
2007-01-01 01:36:41 status unpacked libjson-c2:armel 0.11-4
2007-01-01 01:36:41 status half-configured libjson-c2:armel 0.11-4
2007-01-01 01:36:41 status installed libjson-c2:armel 0.11-4
2007-01-01 01:36:41 status triggers-pending libc-bin:armel 2.19-18+deb8u1
2007-01-01 01:36:41 configure libsasl2-modules-db:armel 2.1.26.dfsg1-13 <none>
2007-01-01 01:36:41 status unpacked libsasl2-modules-db:armel 2.1.26.dfsg1-13
2007-01-01 01:36:41 status half-configured libsasl2-modules-db:armel 2.1.26.dfsg1-13
2007-01-01 01:36:41 status installed libsasl2-modules-db:armel 2.1.26.dfsg1-13
2007-01-01 01:36:41 configure libsasl2-2:armel 2.1.26.dfsg1-13 <none>
2007-01-01 01:36:41 status unpacked libsasl2-2:armel 2.1.26.dfsg1-13
2007-01-01 01:36:41 status half-configured libsasl2-2:armel 2.1.26.dfsg1-13
2007-01-01 01:36:41 status installed libsasl2-2:armel 2.1.26.dfsg1-13
2007-01-01 01:36:41 configure libldap-2.4-2:armel 2.4.40+dfsg-1 <none>
2007-01-01 01:36:41 status unpacked libldap-2.4-2:armel 2.4.40+dfsg-1
2007-01-01 01:36:41 status unpacked libldap-2.4-2:armel 2.4.40+dfsg-1
2007-01-01 01:36:41 status half-configured libldap-2.4-2:armel 2.4.40+dfsg-1
2007-01-01 01:36:41 status installed libldap-2.4-2:armel 2.4.40+dfsg-1
2007-01-01 01:36:42 configure libmagic1:armel 1:5.22+15-2 <none>
2007-01-01 01:36:42 status unpacked libmagic1:armel 1:5.22+15-2
2007-01-01 01:36:42 status unpacked libmagic1:armel 1:5.22+15-2
2007-01-01 01:36:42 status unpacked libmagic1:armel 1:5.22+15-2
2007-01-01 01:36:42 status half-configured libmagic1:armel 1:5.22+15-2
2007-01-01 01:36:42 status installed libmagic1:armel 1:5.22+15-2
2007-01-01 01:36:42 configure libsqlite3-0:armel 3.8.7.1-1+deb8u1 <none>
2007-01-01 01:36:42 status unpacked libsqlite3-0:armel 3.8.7.1-1+deb8u1
2007-01-01 01:36:42 status half-configured libsqlite3-0:armel 3.8.7.1-1+deb8u1
2007-01-01 01:36:42 status installed libsqlite3-0:armel 3.8.7.1-1+deb8u1
2007-01-01 01:36:42 configure libxml2:armel 2.9.1+dfsg1-5 <none>
2007-01-01 01:36:42 status unpacked libxml2:armel 2.9.1+dfsg1-5
2007-01-01 01:36:42 status half-configured libxml2:armel 2.9.1+dfsg1-5
2007-01-01 01:36:42 status installed libxml2:armel 2.9.1+dfsg1-5
2007-01-01 01:36:42 configure mime-support:all 3.58 <none>
2007-01-01 01:36:42 status unpacked mime-support:all 3.58
2007-01-01 01:36:42 status unpacked mime-support:all 3.58
2007-01-01 01:36:42 status unpacked mime-support:all 3.58
2007-01-01 01:36:42 status half-configured mime-support:all 3.58
2007-01-01 01:36:43 status installed mime-support:all 3.58
2007-01-01 01:36:43 configure libapr1:armel 1.5.1-3 <none>
2007-01-01 01:36:43 status unpacked libapr1:armel 1.5.1-3
2007-01-01 01:36:43 status half-configured libapr1:armel 1.5.1-3
2007-01-01 01:36:44 status installed libapr1:armel 1.5.1-3
2007-01-01 01:36:44 configure libexpat1:armel 2.1.0-6+deb8u1 <none>
2007-01-01 01:36:44 status unpacked libexpat1:armel 2.1.0-6+deb8u1
2007-01-01 01:36:44 status half-configured libexpat1:armel 2.1.0-6+deb8u1
2007-01-01 01:36:44 status installed libexpat1:armel 2.1.0-6+deb8u1
2007-01-01 01:36:44 configure libaprutil1:armel 1.5.4-1 <none>
2007-01-01 01:36:44 status unpacked libaprutil1:armel 1.5.4-1
2007-01-01 01:36:44 status half-configured libaprutil1:armel 1.5.4-1
2007-01-01 01:36:44 status installed libaprutil1:armel 1.5.4-1
2007-01-01 01:36:44 configure libaprutil1-dbd-sqlite3:armel 1.5.4-1 <none>
2007-01-01 01:36:44 status unpacked libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:36:44 status half-configured libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:36:44 status installed libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:36:44 configure libaprutil1-ldap:armel 1.5.4-1 <none>
2007-01-01 01:36:44 status unpacked libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:36:44 status half-configured libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:36:44 status installed libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:36:44 configure liblua5.1-0:armel 5.1.5-7.1 <none>
2007-01-01 01:36:44 status unpacked liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:36:44 status half-configured liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:36:44 status installed liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:36:44 configure apache2-bin:armel 2.4.10-10+deb8u3 <none>
2007-01-01 01:36:44 status unpacked apache2-bin:armel 2.4.10-10+deb8u3
2007-01-01 01:36:44 status half-configured apache2-bin:armel 2.4.10-10+deb8u3
